File,Line,Column,Level,Category,Name,Warning,Suggestion,Note,CWEs,Context,Fingerprint
RIOT 2018.07/cpu/atmega_common/include/sys/stat.h,93,8,5,race,chmod,"This accepts filename arguments; if an attacker can move those files, a race condition results. (CWE-362)",Use fchmod( ) instead,,CWE-362,"int    chmod(const char *, mode_t);",e72968bf8ff5ec21fd0360e4f5432e7a99f6cf4919f7ad19146a06548d91c110
RIOT 2018.07/cpu/atmega_common/include/vendor/unistd.h,37,14,5,race,chown,"This accepts filename arguments; if an attacker can move those files, a race condition results. (CWE-362)",Use fchown( ) instead,,CWE-362,"int          chown(const char *, uid_t, gid_t);",60e9f2d448334acde210d51ff48659f97b3f0a4acdb76f4d1e293a1409e96305
RIOT 2018.07/cpu/atmega_common/include/vendor/unistd.h,83,14,5,race,readlink,"This accepts filename arguments; if an attacker can move those files or change the link content, a race condition results.  Also, it does not terminate with ASCII NUL. (CWE-362, CWE-20)",Reconsider approach,,"CWE-362, CWE-20","ssize_t      readlink(const char *restrict, char *restrict, size_t);",0d89ebf30d6379bc748b1920b1f4f105c8cd676496feba5e2eb2dc9815807893
RIOT 2018.07/cpu/msp430_common/include/sys/stat.h,102,8,5,race,chmod,"This accepts filename arguments; if an attacker can move those files, a race condition results. (CWE-362)",Use fchmod( ) instead,,CWE-362,"int    chmod(const char *, mode_t);",e72968bf8ff5ec21fd0360e4f5432e7a99f6cf4919f7ad19146a06548d91c110
RIOT 2018.07/cpu/msp430_common/include/unistd.h,45,14,5,race,chown,"This accepts filename arguments; if an attacker can move those files, a race condition results. (CWE-362)",Use fchown( ) instead,,CWE-362,"int          chown(const char *, uid_t, gid_t);",60e9f2d448334acde210d51ff48659f97b3f0a4acdb76f4d1e293a1409e96305
RIOT 2018.07/cpu/msp430_common/include/unistd.h,91,14,5,race,readlink,"This accepts filename arguments; if an attacker can move those files or change the link content, a race condition results.  Also, it does not terminate with ASCII NUL. (CWE-362, CWE-20)",Reconsider approach,,"CWE-362, CWE-20","ssize_t      readlink(const char *restrict, char *restrict, size_t);",0d89ebf30d6379bc748b1920b1f4f105c8cd676496feba5e2eb2dc9815807893
RIOT 2018.07/boards/common/msba2/tools/src/download.c,415,33,4,format,snprintf,"If format strings can be influenced by an attacker, they can be exploited, and note that sprintf variations do not always \0-terminate (CWE-134)",Use a constant for the format specification,,CWE-134,"                                snprintf(buf, sizeof(buf), UNKNOWN_CHIP_ERROR,",5169912de27dd426759db0c2b6a2610efb0e9e777b7b42ae921ce10b8e9f4a93
RIOT 2018.07/boards/common/msba2/tools/src/pseudoterm.c,197,17,4,shell,system,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,"                system(""tset -c"");",e0d9b02c238d3f18fc67cf9e28019f8b0d3dec231669e338846c877bea283cbb
RIOT 2018.07/core/include/debug.h,56,13,4,format,printf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)",Use a constant for the format specification,,CWE-134,            printf(__VA_ARGS__); \,bce7feabc33efad44bf0d716d864de4b218297fe073b2862654dfe47c3eb0544
RIOT 2018.07/core/include/debug.h,63,26,4,format,printf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)",Use a constant for the format specification,,CWE-134,#define DEBUG_PRINT(...) printf(__VA_ARGS__),f55bdc71fd77b319fda76bb79e120be9344a1b32c3df6567647e5e7f2a913128
