filename,test_name,test_id,issue_severity,issue_confidence,issue_text,line_number,line_range,more_info
mbed-os-mbed-os-5.9.6/mbed-os-mbed-os-5.9.6/features/filesystem/littlefs/TESTS/util/echo.py,blacklist,B404,LOW,HIGH,Consider possible security implications associated with subprocess module.,5,[5],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b404-import-subprocess
mbed-os-mbed-os-5.9.6/mbed-os-mbed-os-5.9.6/features/filesystem/littlefs/TESTS/util/stats.py,blacklist,B404,LOW,HIGH,Consider possible security implications associated with subprocess module.,5,[5],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b404-import-subprocess
mbed-os-mbed-os-5.9.6/mbed-os-mbed-os-5.9.6/features/filesystem/littlefs/TESTS/util/test.py,blacklist,B404,LOW,HIGH,Consider possible security implications associated with subprocess module.,5,[5],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b404-import-subprocess
mbed-os-mbed-os-5.9.6/mbed-os-mbed-os-5.9.6/features/filesystem/littlefs/TESTS/util/test.py,yaml_load,B506,MEDIUM,HIGH,Use of unsafe yaml load. Allows instantiation of arbitrary objects. Consider yaml.safe_load().,11,[11],https://bandit.readthedocs.io/en/latest/plugins/b506_yaml_load.html
mbed-os-mbed-os-5.9.6/mbed-os-mbed-os-5.9.6/features/filesystem/littlefs/littlefs/tests/test.py,blacklist,B404,LOW,HIGH,Consider possible security implications associated with subprocess module.,5,[5],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b404-import-subprocess
mbed-os-mbed-os-5.9.6/mbed-os-mbed-os-5.9.6/features/filesystem/littlefs/littlefs/tests/test.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,subprocess call - check for execution of untrusted input.,36,"[36, 37, 38]",https://bandit.readthedocs.io/en/latest/plugins/b603_subprocess_without_shell_equals_true.html
mbed-os-mbed-os-5.9.6/mbed-os-mbed-os-5.9.6/features/filesystem/littlefs/littlefs/tests/test.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,subprocess call - check for execution of untrusted input.,42,[42],https://bandit.readthedocs.io/en/latest/plugins/b603_subprocess_without_shell_equals_true.html
mbed-os-mbed-os-5.9.6/mbed-os-mbed-os-5.9.6/features/filesystem/littlefs/littlefs/tests/test.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,subprocess call - check for execution of untrusted input.,44,[44],https://bandit.readthedocs.io/en/latest/plugins/b603_subprocess_without_shell_equals_true.html
mbed-os-mbed-os-5.9.6/mbed-os-mbed-os-5.9.6/tools/arm_pack_manager/__init__.py,blacklist,B310,MEDIUM,HIGH,Audit url open for permitted schemes. Allowing use of file:/ or custom schemes is often unexpected.,108,[108],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b310-urllib-urlopen
mbed-os-mbed-os-5.9.6/mbed-os-mbed-os-5.9.6/tools/arm_pack_manager/__init__.py,try_except_pass,B110,LOW,HIGH,"Try, Except, Pass detected.",174,[174],https://bandit.readthedocs.io/en/latest/plugins/b110_try_except_pass.html
