File,Line,Column,Level,Category,Name,Warning,Suggestion,Note,CWEs,Context,Fingerprint
FreeRTOS v10.1.0/FreeRTOS/Source/portable/CCS/ARM_CM3/portmacro.h,109,150,4,shell,system,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,"		#error configUSE_PORT_OPTIMISED_TASK_SELECTION can only be set to 1 when configMAX_PRIORITIES is less than or equal to 32.  It is very rare that a system requires more than 10 to 15 difference priorities as tasks that share a priority will time slice.",eea4bb42deb3a5098d7cd26b4441fb29926a840d2af74fb0f77dc5347bbd4da5
FreeRTOS v10.1.0/FreeRTOS/Source/portable/CCS/ARM_CM4F/portmacro.h,103,150,4,shell,system,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,"		#error configUSE_PORT_OPTIMISED_TASK_SELECTION can only be set to 1 when configMAX_PRIORITIES is less than or equal to 32.  It is very rare that a system requires more than 10 to 15 difference priorities as tasks that share a priority will time slice.",eea4bb42deb3a5098d7cd26b4441fb29926a840d2af74fb0f77dc5347bbd4da5
FreeRTOS v10.1.0/FreeRTOS/Source/portable/CCS/ARM_Cortex-R4/portmacro.h,98,150,4,shell,system,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,"		#error configUSE_PORT_OPTIMISED_TASK_SELECTION can only be set to 1 when configMAX_PRIORITIES is less than or equal to 32.  It is very rare that a system requires more than 10 to 15 difference priorities as tasks that share a priority will time slice.",eea4bb42deb3a5098d7cd26b4441fb29926a840d2af74fb0f77dc5347bbd4da5
FreeRTOS v10.1.0/FreeRTOS/Source/portable/GCC/ARM7_AT91SAM7S/ioat91sam7x256.h,3801,78,4,race,access,"This usually indicates a security flaw.  If an attacker can change anything along the path between the call to access() and the file's actual use (e.g., by moving files), the attacker can exploit the race condition (CWE-362/CWE-367!)","Set up the correct permissions (e.g., using setuid()) and try to open the file directly",,CWE-362/CWE-367!,"AT91C_AES_URAT_WO_REG_READ EQU (0x5 << 12) ;- (AES) Write-only register read access.",c6efc03ef561b78c8721fd5e431a9de7f2c9442a04c0ce502ddd7d0e0bb25e5b
FreeRTOS v10.1.0/FreeRTOS/Source/portable/GCC/ARM7_AT91SAM7S/ioat91sam7x256.h,3842,80,4,race,access,"This usually indicates a security flaw.  If an attacker can change anything along the path between the call to access() and the file's actual use (e.g., by moving files), the attacker can exploit the race condition (CWE-362/CWE-367!)","Set up the correct permissions (e.g., using setuid()) and try to open the file directly",,CWE-362/CWE-367!,"AT91C_TDES_URAT_WO_REG_READ EQU (0x3 << 12) ;- (TDES) Write-only register read access.",65a4204e9d7b30a7c9e7812625e073a4fcc0ce3bb35b96ed723a065fe74935c7
FreeRTOS v10.1.0/FreeRTOS/Source/portable/GCC/ARM_CA53_64_BIT/port.c,66,150,4,shell,system,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,"		#error configUSE_PORT_OPTIMISED_TASK_SELECTION can only be set to 1 when configMAX_PRIORITIES is less than or equal to 32.  It is very rare that a system requires more than 10 to 15 difference priorities as tasks that share a priority will time slice.",eea4bb42deb3a5098d7cd26b4441fb29926a840d2af74fb0f77dc5347bbd4da5
FreeRTOS v10.1.0/FreeRTOS/Source/portable/GCC/ARM_CA9/port.c,66,150,4,shell,system,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,"		#error configUSE_PORT_OPTIMISED_TASK_SELECTION can only be set to 1 when configMAX_PRIORITIES is less than or equal to 32.  It is very rare that a system requires more than 10 to 15 difference priorities as tasks that share a priority will time slice.",eea4bb42deb3a5098d7cd26b4441fb29926a840d2af74fb0f77dc5347bbd4da5
FreeRTOS v10.1.0/FreeRTOS/Source/portable/GCC/ARM_CM3/portmacro.h,140,150,4,shell,system,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,"		#error configUSE_PORT_OPTIMISED_TASK_SELECTION can only be set to 1 when configMAX_PRIORITIES is less than or equal to 32.  It is very rare that a system requires more than 10 to 15 difference priorities as tasks that share a priority will time slice.",eea4bb42deb3a5098d7cd26b4441fb29926a840d2af74fb0f77dc5347bbd4da5
FreeRTOS v10.1.0/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/portmacro.h,175,150,4,shell,system,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,"		#error configUSE_PORT_OPTIMISED_TASK_SELECTION can only be set to 1 when configMAX_PRIORITIES is less than or equal to 32.  It is very rare that a system requires more than 10 to 15 difference priorities as tasks that share a priority will time slice.",eea4bb42deb3a5098d7cd26b4441fb29926a840d2af74fb0f77dc5347bbd4da5
FreeRTOS v10.1.0/FreeRTOS/Source/portable/GCC/ARM_CM4F/portmacro.h,140,150,4,shell,system,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,"		#error configUSE_PORT_OPTIMISED_TASK_SELECTION can only be set to 1 when configMAX_PRIORITIES is less than or equal to 32.  It is very rare that a system requires more than 10 to 15 difference priorities as tasks that share a priority will time slice.",eea4bb42deb3a5098d7cd26b4441fb29926a840d2af74fb0f77dc5347bbd4da5
FreeRTOS v10.1.0/FreeRTOS/Source/portable/GCC/ARM_CM4_MPU/portmacro.h,175,150,4,shell,system,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,"		#error configUSE_PORT_OPTIMISED_TASK_SELECTION can only be set to 1 when configMAX_PRIORITIES is less than or equal to 32.  It is very rare that a system requires more than 10 to 15 difference priorities as tasks that share a priority will time slice.",eea4bb42deb3a5098d7cd26b4441fb29926a840d2af74fb0f77dc5347bbd4da5
FreeRTOS v10.1.0/FreeRTOS/Source/portable/GCC/ARM_CM7/r0p1/portmacro.h,140,150,4,shell,system,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,"		#error configUSE_PORT_OPTIMISED_TASK_SELECTION can only be set to 1 when configMAX_PRIORITIES is less than or equal to 32.  It is very rare that a system requires more than 10 to 15 difference priorities as tasks that share a priority will time slice.",eea4bb42deb3a5098d7cd26b4441fb29926a840d2af74fb0f77dc5347bbd4da5
FreeRTOS v10.1.0/FreeRTOS/Source/portable/GCC/ARM_CR5/port.c,66,150,4,shell,system,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,"		#error configUSE_PORT_OPTIMISED_TASK_SELECTION can only be set to 1 when configMAX_PRIORITIES is less than or equal to 32.  It is very rare that a system requires more than 10 to 15 difference priorities as tasks that share a priority will time slice.",eea4bb42deb3a5098d7cd26b4441fb29926a840d2af74fb0f77dc5347bbd4da5
FreeRTOS v10.1.0/FreeRTOS/Source/portable/GCC/ARM_CRx_No_GIC/port.c,38,150,4,shell,system,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,"		#error configUSE_PORT_OPTIMISED_TASK_SELECTION can only be set to 1 when configMAX_PRIORITIES is less than or equal to 32.  It is very rare that a system requires more than 10 to 15 difference priorities as tasks that share a priority will time slice.",eea4bb42deb3a5098d7cd26b4441fb29926a840d2af74fb0f77dc5347bbd4da5
FreeRTOS v10.1.0/FreeRTOS/Source/portable/GCC/AVR32_UC3/portmacro.h,130,3,4,format,printf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)",Use a constant for the format specification,,CWE-134,"  printf(__VA_ARGS__);\",b4128cdaa1853c287ea96e2f145fbb5d14dd217396bf6c411a467865d2af29ef
FreeRTOS v10.1.0/FreeRTOS/Source/portable/GCC/IA32_flat/port.c,38,150,4,shell,system,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,"		#error configUSE_PORT_OPTIMISED_TASK_SELECTION can only be set to 1 when configMAX_PRIORITIES is less than or equal to 32.  It is very rare that a system requires more than 10 to 15 difference priorities as tasks that share a priority will time slice.",eea4bb42deb3a5098d7cd26b4441fb29926a840d2af74fb0f77dc5347bbd4da5
FreeRTOS v10.1.0/FreeRTOS/Source/portable/GCC/MicroBlazeV8/portmacro.h,132,150,4,shell,system,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,"		#error configUSE_PORT_OPTIMISED_TASK_SELECTION can only be set to 1 when configMAX_PRIORITIES is less than or equal to 32.  It is very rare that a system requires more than 10 to 15 difference priorities as tasks that share a priority will time slice.",eea4bb42deb3a5098d7cd26b4441fb29926a840d2af74fb0f77dc5347bbd4da5
FreeRTOS v10.1.0/FreeRTOS/Source/portable/GCC/MicroBlazeV9/portmacro.h,132,150,4,shell,system,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,"		#error configUSE_PORT_OPTIMISED_TASK_SELECTION can only be set to 1 when configMAX_PRIORITIES is less than or equal to 32.  It is very rare that a system requires more than 10 to 15 difference priorities as tasks that share a priority will time slice.",eea4bb42deb3a5098d7cd26b4441fb29926a840d2af74fb0f77dc5347bbd4da5
FreeRTOS v10.1.0/FreeRTOS/Source/portable/IAR/ARM_CA5_No_GIC/port.c,38,150,4,shell,system,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,"		#error configUSE_PORT_OPTIMISED_TASK_SELECTION can only be set to 1 when configMAX_PRIORITIES is less than or equal to 32.  It is very rare that a system requires more than 10 to 15 difference priorities as tasks that share a priority will time slice.",eea4bb42deb3a5098d7cd26b4441fb29926a840d2af74fb0f77dc5347bbd4da5
FreeRTOS v10.1.0/FreeRTOS/Source/portable/IAR/ARM_CA5_No_GIC/portASM.h,36,34,4,shell,system,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,"	; Save the LR and SPSR onto the system mode stack before switching to",6d9e6fa24bc741f04865842736dfdd1adbb6776f849ab9bc9cfec6a1625f7094
FreeRTOS v10.1.0/FreeRTOS/Source/portable/IAR/ARM_CA5_No_GIC/portASM.h,37,4,4,shell,system,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,"	; system mode to save the remaining system mode registers",002ea12cd5b5b33484dcb48861f3c2809aa616486360de1275a68974a22a6161
FreeRTOS v10.1.0/FreeRTOS/Source/portable/IAR/ARM_CA5_No_GIC/portASM.h,37,38,4,shell,system,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,"	; system mode to save the remaining system mode registers",002ea12cd5b5b33484dcb48861f3c2809aa616486360de1275a68974a22a6161
FreeRTOS v10.1.0/FreeRTOS/Source/portable/IAR/ARM_CA5_No_GIC/portASM.h,100,16,4,shell,system,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,"	; Restore all system mode registers other than the SP (which is already",9b2afad1407fa3e319e44cb20d2093c0dc9ec30bbc3aeb1d139ce320da38e689
FreeRTOS v10.1.0/FreeRTOS/Source/portable/IAR/ARM_CA9/port.c,69,150,4,shell,system,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,"		#error configUSE_PORT_OPTIMISED_TASK_SELECTION can only be set to 1 when configMAX_PRIORITIES is less than or equal to 32.  It is very rare that a system requires more than 10 to 15 difference priorities as tasks that share a priority will time slice.",eea4bb42deb3a5098d7cd26b4441fb29926a840d2af74fb0f77dc5347bbd4da5
FreeRTOS v10.1.0/FreeRTOS/Source/portable/IAR/ARM_CA9/portASM.h,36,34,4,shell,system,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,"	; Save the LR and SPSR onto the system mode stack before switching to",6d9e6fa24bc741f04865842736dfdd1adbb6776f849ab9bc9cfec6a1625f7094
FreeRTOS v10.1.0/FreeRTOS/Source/portable/IAR/ARM_CA9/portASM.h,37,4,4,shell,system,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,"	; system mode to save the remaining system mode registers",002ea12cd5b5b33484dcb48861f3c2809aa616486360de1275a68974a22a6161
FreeRTOS v10.1.0/FreeRTOS/Source/portable/IAR/ARM_CA9/portASM.h,37,38,4,shell,system,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,"	; system mode to save the remaining system mode registers",002ea12cd5b5b33484dcb48861f3c2809aa616486360de1275a68974a22a6161
FreeRTOS v10.1.0/FreeRTOS/Source/portable/IAR/ARM_CA9/portASM.h,103,16,4,shell,system,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,"	; Restore all system mode registers other than the SP (which is already",9b2afad1407fa3e319e44cb20d2093c0dc9ec30bbc3aeb1d139ce320da38e689
FreeRTOS v10.1.0/FreeRTOS/Source/portable/IAR/ARM_CM3/portmacro.h,112,150,4,shell,system,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,"		#error configUSE_PORT_OPTIMISED_TASK_SELECTION can only be set to 1 when configMAX_PRIORITIES is less than or equal to 32.  It is very rare that a system requires more than 10 to 15 difference priorities as tasks that share a priority will time slice.",eea4bb42deb3a5098d7cd26b4441fb29926a840d2af74fb0f77dc5347bbd4da5
FreeRTOS v10.1.0/FreeRTOS/Source/portable/IAR/ARM_CM4F/portmacro.h,105,150,4,shell,system,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,"		#error configUSE_PORT_OPTIMISED_TASK_SELECTION can only be set to 1 when configMAX_PRIORITIES is less than or equal to 32.  It is very rare that a system requires more than 10 to 15 difference priorities as tasks that share a priority will time slice.",eea4bb42deb3a5098d7cd26b4441fb29926a840d2af74fb0f77dc5347bbd4da5
FreeRTOS v10.1.0/FreeRTOS/Source/portable/IAR/ARM_CM4F_MPU/portmacro.h,147,150,4,shell,system,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,"		#error configUSE_PORT_OPTIMISED_TASK_SELECTION can only be set to 1 when configMAX_PRIORITIES is less than or equal to 32.  It is very rare that a system requires more than 10 to 15 difference priorities as tasks that share a priority will time slice.",eea4bb42deb3a5098d7cd26b4441fb29926a840d2af74fb0f77dc5347bbd4da5
FreeRTOS v10.1.0/FreeRTOS/Source/portable/IAR/ARM_CM7/r0p1/portmacro.h,105,150,4,shell,system,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,"		#error configUSE_PORT_OPTIMISED_TASK_SELECTION can only be set to 1 when configMAX_PRIORITIES is less than or equal to 32.  It is very rare that a system requires more than 10 to 15 difference priorities as tasks that share a priority will time slice.",eea4bb42deb3a5098d7cd26b4441fb29926a840d2af74fb0f77dc5347bbd4da5
FreeRTOS v10.1.0/FreeRTOS/Source/portable/IAR/ARM_CRx_No_GIC/port.c,38,150,4,shell,system,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,"		#error configUSE_PORT_OPTIMISED_TASK_SELECTION can only be set to 1 when configMAX_PRIORITIES is less than or equal to 32.  It is very rare that a system requires more than 10 to 15 difference priorities as tasks that share a priority will time slice.",eea4bb42deb3a5098d7cd26b4441fb29926a840d2af74fb0f77dc5347bbd4da5
FreeRTOS v10.1.0/FreeRTOS/Source/portable/IAR/AVR32_UC3/portmacro.h,132,4,4,format,printf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)",Use a constant for the format specification,,CWE-134,"	  printf(__VA_ARGS__);													\",f32e298260849aa553fab54b5965bf934dec4581ce9556227b9f6341dff54b99
FreeRTOS v10.1.0/FreeRTOS/Source/portable/IAR/AtmelSAM7S64/ISR_Support.h,52,38,4,shell,system,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,"	; Pop R0 so we can save it onto the system mode stack.",bd17845c44a1e3691d27eacbf9bfd1061ae4522fde3e54bf97c239b18a9d149a
FreeRTOS v10.1.0/FreeRTOS/Source/portable/IAR/AtmelSAM7S64/ISR_Support.h,55,17,4,shell,system,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,"	; Push all the system mode registers onto the task stack.",e43d07c74b8639b608f3ed3b13f63e70bdc4c1a30b50a6b05547728310042d14
FreeRTOS v10.1.0/FreeRTOS/Source/portable/IAR/AtmelSAM7S64/ISR_Support.h,93,16,4,shell,system,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,"	; Restore all system mode registers for the task.",b3bc207df472af17c80a0b6542178e8bcdfacc01423316e19433ce8f2cc3177e
FreeRTOS v10.1.0/FreeRTOS/Source/portable/IAR/AtmelSAM9XE/ISR_Support.h,25,38,4,shell,system,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,"	; Pop R0 so we can save it onto the system mode stack. 			",bd17845c44a1e3691d27eacbf9bfd1061ae4522fde3e54bf97c239b18a9d149a
FreeRTOS v10.1.0/FreeRTOS/Source/portable/IAR/AtmelSAM9XE/ISR_Support.h,28,17,4,shell,system,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,"	; Push all the system mode registers onto the task stack. 		",e43d07c74b8639b608f3ed3b13f63e70bdc4c1a30b50a6b05547728310042d14
FreeRTOS v10.1.0/FreeRTOS/Source/portable/IAR/AtmelSAM9XE/ISR_Support.h,66,16,4,shell,system,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,"	; Restore all system mode registers for the task. 				",b3bc207df472af17c80a0b6542178e8bcdfacc01423316e19433ce8f2cc3177e
FreeRTOS v10.1.0/FreeRTOS/Source/portable/IAR/LPC2000/ISR_Support.h,52,38,4,shell,system,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,"	; Pop R0 so we can save it onto the system mode stack.",bd17845c44a1e3691d27eacbf9bfd1061ae4522fde3e54bf97c239b18a9d149a
FreeRTOS v10.1.0/FreeRTOS/Source/portable/IAR/LPC2000/ISR_Support.h,55,17,4,shell,system,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,"	; Push all the system mode registers onto the task stack.",e43d07c74b8639b608f3ed3b13f63e70bdc4c1a30b50a6b05547728310042d14
FreeRTOS v10.1.0/FreeRTOS/Source/portable/IAR/LPC2000/ISR_Support.h,93,16,4,shell,system,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,"	; Restore all system mode registers for the task.",b3bc207df472af17c80a0b6542178e8bcdfacc01423316e19433ce8f2cc3177e
FreeRTOS v10.1.0/FreeRTOS/Source/portable/IAR/STR71x/ISR_Support.h,52,38,4,shell,system,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,"	; Pop R0 so we can save it onto the system mode stack.",bd17845c44a1e3691d27eacbf9bfd1061ae4522fde3e54bf97c239b18a9d149a
FreeRTOS v10.1.0/FreeRTOS/Source/portable/IAR/STR71x/ISR_Support.h,55,17,4,shell,system,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,"	; Push all the system mode registers onto the task stack.",e43d07c74b8639b608f3ed3b13f63e70bdc4c1a30b50a6b05547728310042d14
FreeRTOS v10.1.0/FreeRTOS/Source/portable/IAR/STR71x/ISR_Support.h,93,16,4,shell,system,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,"	; Restore all system mode registers for the task.",b3bc207df472af17c80a0b6542178e8bcdfacc01423316e19433ce8f2cc3177e
FreeRTOS v10.1.0/FreeRTOS/Source/portable/IAR/STR75x/ISR_Support.h,52,38,4,shell,system,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,"	; Pop R0 so we can save it onto the system mode stack.",bd17845c44a1e3691d27eacbf9bfd1061ae4522fde3e54bf97c239b18a9d149a
FreeRTOS v10.1.0/FreeRTOS/Source/portable/IAR/STR75x/ISR_Support.h,55,17,4,shell,system,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,"	; Push all the system mode registers onto the task stack.",e43d07c74b8639b608f3ed3b13f63e70bdc4c1a30b50a6b05547728310042d14
FreeRTOS v10.1.0/FreeRTOS/Source/portable/IAR/STR75x/ISR_Support.h,93,16,4,shell,system,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,"	; Restore all system mode registers for the task.",b3bc207df472af17c80a0b6542178e8bcdfacc01423316e19433ce8f2cc3177e
FreeRTOS v10.1.0/FreeRTOS/Source/portable/IAR/STR91x/ISR_Support.h,52,38,4,shell,system,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,"	; Pop R0 so we can save it onto the system mode stack. 			",bd17845c44a1e3691d27eacbf9bfd1061ae4522fde3e54bf97c239b18a9d149a
FreeRTOS v10.1.0/FreeRTOS/Source/portable/IAR/STR91x/ISR_Support.h,55,17,4,shell,system,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,"	; Push all the system mode registers onto the task stack. 		",e43d07c74b8639b608f3ed3b13f63e70bdc4c1a30b50a6b05547728310042d14
FreeRTOS v10.1.0/FreeRTOS/Source/portable/IAR/STR91x/ISR_Support.h,93,16,4,shell,system,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,"	; Restore all system mode registers for the task. 				",b3bc207df472af17c80a0b6542178e8bcdfacc01423316e19433ce8f2cc3177e
FreeRTOS v10.1.0/FreeRTOS/Source/portable/MPLAB/PIC32MEC14xx/portmacro.h,199,150,4,shell,system,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,"		#error configUSE_PORT_OPTIMISED_TASK_SELECTION can only be set to 1 when configMAX_PRIORITIES is less than or equal to 32.  It is very rare that a system requires more than 10 to 15 difference priorities as tasks that share a priority will time slice.",eea4bb42deb3a5098d7cd26b4441fb29926a840d2af74fb0f77dc5347bbd4da5
FreeRTOS v10.1.0/FreeRTOS/Source/portable/MPLAB/PIC32MX/portmacro.h,150,150,4,shell,system,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,"		#error configUSE_PORT_OPTIMISED_TASK_SELECTION can only be set to 1 when configMAX_PRIORITIES is less than or equal to 32.  It is very rare that a system requires more than 10 to 15 difference priorities as tasks that share a priority will time slice.",eea4bb42deb3a5098d7cd26b4441fb29926a840d2af74fb0f77dc5347bbd4da5
