File,Line,Column,Level,Category,Name,Warning,Suggestion,Note,CWEs,Context,Fingerprint
TinyOS v1.1.0/apps/LittleGuySleep/MICA.c,59,9,4,format,printf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)",Use a constant for the format specification,,CWE-134,#define printf(x...) ;,e91e46fa65ba4db4b2109a061f8efc15e665c6ae4ce5f121fb189a3f019d5240
TinyOS v1.1.0/apps/LittleGuySleep/MICA.c,60,9,4,buffer,strcat,Does not check for buffer overflows when concatenating to destination [MS-banned] (CWE-120),"Consider using strcat_s, strncat, strlcat, or snprintf (warning: strncat is easily misused)",,CWE-120,#define strcat(x...) ;,523c36f9fcf26e9af7ca97f45c6487db625dd02e3407d35904d65e2193370319
TinyOS v1.1.0/apps/LittleGuySleep/hardware.h,65,9,4,format,printf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)",Use a constant for the format specification,,CWE-134,#define printf(x...) ;,e91e46fa65ba4db4b2109a061f8efc15e665c6ae4ce5f121fb189a3f019d5240
TinyOS v1.1.0/apps/LittleGuySleep/hardware.h,66,9,4,buffer,strcat,Does not check for buffer overflows when concatenating to destination [MS-banned] (CWE-120),"Consider using strcat_s, strncat, strlcat, or snprintf (warning: strncat is easily misused)",,CWE-120,#define strcat(x...) ;,523c36f9fcf26e9af7ca97f45c6487db625dd02e3407d35904d65e2193370319
TinyOS v1.1.0/tools/java/net/tinyos/util/dtn/apps/async_rcvr/async_rcvr.c,64,55,4,buffer,strcpy,Does not check for buffer overflows when copying to destination [MS-banned] (CWE-120),"Consider using snprintf, strcpy_s, or strlcpy (warning: strncpy easily misused)",,CWE-120,"#define copyIf(x, y, z) if ( strcmp(y, #x "":"")==0 ) { strcpy(x, z); }",5d4e55680fc57d8043c320395629d9b04df8a0597730b0240dab5842fa3d16c1
TinyOS v1.1.0/tools/java/net/tinyos/util/dtn/apps/async_rcvr/async_rcvr.c,101,5,4,buffer,sprintf,Does not check for buffer overflows (CWE-120),"Use sprintf_s, snprintf, or vsnprintf",,CWE-120,"    sprintf(buff, ""%s %s\n"", scriptName, bundleFileName);",fab60943700809edc9e05ef605bce4229144584119e4a6308734c1108e1a71cd
TinyOS v1.1.0/tools/java/net/tinyos/util/dtn/apps/async_rcvr/async_rcvr.c,102,14,4,shell,system,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,    retVal = system(buff);,e1988af7cc3f8d95a09a653c0ddf7d0558d0cd97790703f0ec584c761c2b6d68
TinyOS v1.1.0/tools/java/net/tinyos/util/dtn/apps/async_rcvr/async_rcvr.c,205,3,4,buffer,strcpy,Does not check for buffer overflows when copying to destination [MS-banned] (CWE-120),"Consider using snprintf, strcpy_s, or strlcpy (warning: strncpy easily misused)",,CWE-120,"  strcpy(routing, &(t[1]));",189dc2449829d7349b45a546d98eb243f219e6e0a3ab0e6f0e0419193e817180
TinyOS v1.1.0/tools/java/net/tinyos/util/dtn/apps/async_rcvr/async_rcvr.c,229,7,4,buffer,strcpy,Does not check for buffer overflows when copying to destination [MS-banned] (CWE-120),"Consider using snprintf, strcpy_s, or strlcpy (warning: strncpy easily misused)",,CWE-120,"      strcpy(bahost, optarg);",475fb923dab7e4ef9fdec59e97060c0e467247b084fc2ee8dfc5bec0d2f2ad36
TinyOS v1.1.0/tools/java/net/tinyos/util/dtn/apps/async_rcvr/async_rcvr.c,235,7,4,buffer,strcpy,Does not check for buffer overflows when copying to destination [MS-banned] (CWE-120),"Consider using snprintf, strcpy_s, or strlcpy (warning: strncpy easily misused)",,CWE-120,"      strcpy(localstuff, optarg);",52bb5968ad89ec4fb031119d435309483a540fc777e68ab5ef4b6be54d9fcc6f
