File,Line,Column,Level,Category,Name,Warning,Suggestion,Note,CWEs,Context,Fingerprint,,,,,,,,
contiki 3.0/core/net/ip/resolv.c,1094,5,5,buffer,strncat,"Easily used incorrectly (e.g., incorrectly computing the correct maximum size to add) [MS-banned] (CWE-120)","Consider strcat_s, strlcat, snprintf, or automatically resizing strings","Risk is high; the length parameter appears to be a constant, instead of computing the number of characters left.",CWE-120,"    strncat(resolv_hostname, "".local"", RESOLV_CONF_MAX_DOMAIN_NAME_SIZE);",4f9ed5ef5bba661898980efe92ab4bcf21c93bda901704d0a1892d5f112e6329,,,,,,,,
contiki 3.0/core/net/ip/resolv.c,1479,7,5,buffer,strncat,"Easily used incorrectly (e.g., incorrectly computing the correct maximum size to add) [MS-banned] (CWE-120)","Consider strcat_s, strlcat, snprintf, or automatically resizing strings","Risk is high; the length parameter appears to be a constant, instead of computing the number of characters left.",CWE-120,"      strncat(resolv_hostname, "".local"", RESOLV_CONF_MAX_DOMAIN_NAME_SIZE);",4f9ed5ef5bba661898980efe92ab4bcf21c93bda901704d0a1892d5f112e6329,,,,,,,,
contiki 3.0/apps/about/about.c,81,3,4,buffer,strcpy,Does not check for buffer overflows when copying to destination [MS-banned] (CWE-120),"Consider using snprintf, strcpy_s, or strlcpy (warning: strncpy easily misused)",,CWE-120,"  strcpy(abouturl_ascii, abouturl_petscii);",388ad097df2dfae9ba5da68b01970e2d43fc1f0d74ad214877648ab74bd24b97,,,,,,,,
contiki 3.0/apps/antelope/antelope.c,45,38,4,format,printf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)",Use a constant for the format specification,,CWE-134,static db_output_function_t output = printf,,dd5cef39d888bc1ddb9c0ab8f5b88cbcda4cf016781029cca82f8619e5c29ff3,,,,,,,
contiki 3.0/apps/antelope/aql-adt.c,115,3,4,buffer,strcpy,Does not check for buffer overflows when copying to destination [MS-banned] (CWE-120),"Consider using snprintf, strcpy_s, or strlcpy (warning: strncpy easily misused)",,CWE-120,"  strcpy(attr->name, name);",48cb9806c5c01f455af274a8184ab8446b3e58bed5825afdb1db95cb6c72d0b5,,,,,,,,
contiki 3.0/apps/antelope/aql-exec.c,197,3,4,format,vsnprintf,"If format strings can be influenced by an attacker, they can be exploited, and note that sprintf variations do not always \0-terminate (CWE-134)",Use a constant for the format specification,,CWE-134,"  vsnprintf(query_string, sizeof(query_string), format, ap);",da9dcf024b5c128a636c5b0a7f91876be1946c5bad8630ada3a70afdacea5a61,,,,,,,,
contiki 3.0/apps/antelope/aql.h,192,3,4,buffer,strcpy,Does not check for buffer overflows when copying to destination [MS-banned] (CWE-120),"Consider using snprintf, strcpy_s, or strlcpy (warning: strncpy easily misused)",,CWE-120,"  strcpy((adt)->relations[(adt)->relation_count++], (rel))",3787c7b6a3cdda142671dc4fede0d030d060b4120e63ef931d06757b2a66fd84,,,,,,,,
contiki 3.0/apps/antelope/debug.h,51,23,4,format,printf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)",Use a constant for the format specification,,CWE-134,#define ANNOTATE(...) printf(__VA_ARGS__),1490ea4c2e5bbf170d77e301195f00685cfe3658681c5aa252461a2ab91e09af,,,,,,,,
contiki 3.0/apps/antelope/debug.h,58,21,4,format,printf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)",Use a constant for the format specification,,CWE-134,#define PRINTF(...) printf(__VA_ARGS__),ef654db525fa107cde56982bb763e7cba59253c58d2b8c034b715b407119abe0,,,,,,,,
contiki 3.0/apps/antelope/storage-cfs.c,74,3,4,buffer,strcpy,Does not check for buffer overflows when copying to destination [MS-banned] (CWE-120),"Consider using snprintf, strcpy_s, or strlcpy (warning: strncpy easily misused)",,CWE-120,"  strcpy(dest, prefix);",ee86165eb7d65b8129dc27f0b28b274531c9cc2ad8af6894adfaeef51dc36209,,,,,,,,
