File,Line,Column,Level,Category,Name,Warning,Suggestion,Note,CWEs,Context,Fingerprint
mbed-os-mbed-os-5.9.6/mbed-os-mbed-os-5.9.6/features/storage/FEATURE_STORAGE/TESTS/cfstore/create/create.cpp,198,9,5,buffer,strncat,"Easily used incorrectly (e.g., incorrectly computing the correct maximum size to add) [MS-banned] (CWE-120)","Consider strcat_s, strlcat, snprintf, or automatically resizing strings","Risk is high; the length parameter appears to be a constant, instead of computing the number of characters left.",CWE-120,"        strncat(kv_name, name_tag, CFSTORE_KEY_NAME_MAX_LENGTH);",4dd7f19d2b98aceb1a8c4c979840980e951eb947d2122f51aed87b27583f1085
mbed-os-mbed-os-5.9.6/mbed-os-mbed-os-5.9.6/features/unsupported/tests/mbed/echo/main.cpp,24,12,5,buffer,gets,"Does not check for buffer overflows (CWE-120, CWE-20)",Use fgets() instead,,"CWE-120, CWE-20","        pc.gets(buffer, BUFFER_SIZE - 1);",d5fc2f3643fac126e7f82ffa3f974ef86853a5a2b98fae194500a08fbf1b5291
mbed-os-mbed-os-5.9.6/mbed-os-mbed-os-5.9.6/features/unsupported/tests/mbed/echo_flow_control/main.cpp,60,12,5,buffer,gets,"Does not check for buffer overflows (CWE-120, CWE-20)",Use fgets() instead,,"CWE-120, CWE-20","        pc.gets(buf, 256);",41e50b7b14297f9ee10f456afb7dd93cd9cc21df63576ebbc18b2a839d370820
mbed-os-mbed-os-5.9.6/mbed-os-mbed-os-5.9.6/platform/Stream.cpp,67,15,5,buffer,gets,"Does not check for buffer overflows (CWE-120, CWE-20)",Use fgets() instead,,"CWE-120, CWE-20","char *Stream::gets(char *s, int size)",e90d6f08dc63451cd9f3c96902bf49d3f4bd85601cde06871e494a61631e2ea7
mbed-os-mbed-os-5.9.6/mbed-os-mbed-os-5.9.6/platform/Stream.h,51,11,5,buffer,gets,"Does not check for buffer overflows (CWE-120, CWE-20)",Use fgets() instead,,"CWE-120, CWE-20","    char *gets(char *s, int size);",5c27bc7a19f369c1daea6d032b49a110d7188ec5bf4241b9bb33b2d465ad3f5f
mbed-os-mbed-os-5.9.6/mbed-os-mbed-os-5.9.6/TESTS/mbed_drivers/c_strings/main.cpp,77,9,4,buffer,strcat,Does not check for buffer overflows when concatenating to destination [MS-banned] (CWE-120),"Consider using strcat_s, strncat, strlcat, or snprintf (warning: strncat is easily misused)",,CWE-120,"        strcat(buffer, pch);",c191427dbc410e121bdbd6634e75e444cb116fcf99346fc1329ae039af2acc8d
mbed-os-mbed-os-5.9.6/mbed-os-mbed-os-5.9.6/TESTS/mbed_drivers/c_strings/main.cpp,91,9,4,buffer,strcat,Does not check for buffer overflows when concatenating to destination [MS-banned] (CWE-120),"Consider using strcat_s, strncat, strlcat, or snprintf (warning: strncat is easily misused)",,CWE-120,"        strcat(buffer, buf);",3c2c7931b87b32aa9c9a36fe53c0a47033f75748c60f73b36f86a2414873830d
mbed-os-mbed-os-5.9.6/mbed-os-mbed-os-5.9.6/TESTS/mbedtls/multi/main.cpp,30,28,4,format,printf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)",Use a constant for the format specification,,CWE-134,#define mbedtls_printf     printf,0b79e58a63f881fd45338116c0aa9538e8a0f465017ac1d35832a1d9dfaa91e4
mbed-os-mbed-os-5.9.6/mbed-os-mbed-os-5.9.6/TESTS/mbedtls/selftest/main.cpp,42,28,4,format,printf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)",Use a constant for the format specification,,CWE-134,#define mbedtls_printf     printf,0b79e58a63f881fd45338116c0aa9538e8a0f465017ac1d35832a1d9dfaa91e4
mbed-os-mbed-os-5.9.6/mbed-os-mbed-os-5.9.6/TESTS/network/emac/emac_TestMemoryManager.cpp,493,9,4,format,snprintf,"If format strings can be influenced by an attacker, they can be exploited, and note that sprintf variations do not always \0-terminate (CWE-134)",Use a constant for the format specification,,CWE-134,"        snprintf(s_trace_buffer + sizeof(MEM_MNGR_TRACE) - 1, sizeof(s_trace_buffer) - sizeof(MEM_MNGR_TRACE) - 1, fmt, ap);",601ee4b39edb19ad0d80691b29ff086c950e7a35ca91cc55dd018fe62542f5df
mbed-os-mbed-os-5.9.6/mbed-os-mbed-os-5.9.6/TESTS/network/wifi/wifi_scan.cpp,44,38,4,buffer,sscanf,"The scanf() family's %s operation, without a limit specification, permits buffer overflows (CWE-120, CWE-20)","Specify a limit to %s, or use a different input function","If the scanf format is influenceable by an attacker, it's exploitable.","CWE-120, CWE-20","    TEST_ASSERT_EQUAL_INT_MESSAGE(6, sscanf(MBED_CONF_APP_AP_MAC_SECURE, coversion_string, &secure_bssid[0], &secure_bssid[1], &secure_bssid[2], &secure_bssid[3], &secure_bssid[4], &secure_bssid[5]), ""Failed to convert ap-mac-secure from mbed_app.json"");",241f7c05f7af48c9cf40b05c21d80bd1a960427ea4c181b6481fcd5bed391d3e
