File,Name
arch/arm/core/prep_c.c,memcpy
arch/posix/include/posix_cheats.h,open
arch/posix/include/posix_cheats.h,usleep
arch/posix/include/posix_cheats.h,read
arch/x86_64/core/printf.h,snprintf
arch/x86_64/core/printf.h,sprintf
arch/x86_64/core/printf.h,printf
arch/x86_64/core/printf.h,char
arch/x86_64/core/xuk-stub32.c,printf
arch/x86_64/core/xuk.c,printf
arch/x86_64/core/xuk.c,char
arch/x86/core/ia32/fatal.c,char
arch/x86/core/ia32/x86_mmu.c,char
arch/x86/core/ia32/x86_mmu.c,memcpy
arch/x86/core/ia32/x86_mmu.c,memcpy
arch/x86/core/ia32/x86_mmu.c,memcpy
arch/x86/core/ia32/x86_mmu.c,memcpy
arch/x86/include/ia32/kernel_arch_thread.h,char
arch/x86/include/ia32/kernel_arch_thread.h,char
arch/x86/include/ia32/kernel_arch_thread.h,char
arch/x86/include/ia32/kernel_arch_thread.h,char
arch/x86/include/ia32/kernel_arch_thread.h,char
arch/xtensa/include/kernel_arch_thread.h,char
boards/posix/native_posix/cmdline_common.c,char
boards/posix/native_posix/cmdline_common.c,char
boards/posix/native_posix/cmdline_common.c,char
boards/posix/native_posix/cmdline_common.c,strlen
boards/posix/native_posix/cmdline_common.c,strlen
boards/posix/native_posix/cmdline_common.c,strlen
boards/posix/native_posix/cmdline_common.c,strlen
boards/posix/native_posix/cmdline_common.c,strlen
boards/posix/native_posix/cmdline_common.c,strlen
boards/posix/native_posix/cmdline.c,memcpy
boards/posix/native_posix/timer_model.c,sprintf
boards/posix/native_posix/timer_model.c,sprintf
boards/posix/native_posix/timer_model.c,char
boards/posix/native_posix/timer_model.c,char
boards/posix/native_posix/timer_model.c,char
boards/posix/native_posix/tracing.c,vfprintf
boards/posix/native_posix/tracing.c,vfprintf
boards/posix/native_posix/tracing.c,vfprintf
boards/posix/nrf52_bsim/argparse.h,char
boards/posix/nrf52_bsim/trace_hook.c,char
drivers/adc/adc_handlers.c,read
drivers/adc/adc_shell.c,read
drivers/adc/adc_shell.c,read
drivers/adc/adc_shell.c,read
drivers/bluetooth/hci/h4.c,read
drivers/bluetooth/hci/h4.c,read
drivers/bluetooth/hci/h4.c,read
drivers/bluetooth/hci/h4.c,read
drivers/bluetooth/hci/h5.c,memcpy
drivers/bluetooth/hci/h5.c,memcpy
drivers/bluetooth/hci/ipm_stm32wb.c,memcpy
drivers/bluetooth/hci/ipm_stm32wb.c,memcpy
drivers/bluetooth/hci/userchan.c,read
drivers/bluetooth/hci/userchan.c,strlen
drivers/console/native_posix_console.c,printf
drivers/console/native_posix_console.c,strlen
drivers/console/ram_console.c,char
drivers/console/xtensa_sim_console.c,char
drivers/counter/counter_cmos.c,read
drivers/counter/counter_cmos.c,read
drivers/counter/counter_handlers.c,read
drivers/crypto/crypto_ataes132a.c,memcpy
drivers/crypto/crypto_ataes132a.c,memcpy
drivers/crypto/crypto_ataes132a.c,memcpy
drivers/crypto/crypto_ataes132a.c,memcpy
drivers/crypto/crypto_ataes132a.c,memcpy
drivers/crypto/crypto_ataes132a.c,memcpy
drivers/crypto/crypto_ataes132a.c,memcpy
drivers/crypto/crypto_ataes132a.c,memcpy
drivers/crypto/crypto_ataes132a.c,memcpy
drivers/crypto/crypto_ataes132a.c,memcpy
drivers/crypto/crypto_tc_shim.c,memcpy
drivers/crypto/crypto_tc_shim.c,memcpy
drivers/display/display_framebuf.c,memcpy
drivers/display/display_framebuf.c,memcpy
drivers/display/display_mcux_elcdif.c,memcpy
drivers/display/display_mcux_elcdif.c,memcpy
drivers/display/display_sdl.c,memcpy
drivers/display/grove_lcd_rgb.c,char
drivers/display/mb_display.c,char
drivers/entropy/entropy_esp32.c,memcpy
drivers/entropy/entropy_esp32.c,memcpy
drivers/entropy/entropy_mcux_rnga.c,randon
drivers/entropy/entropy_mcux_rnga.c,randon
drivers/entropy/entropy_mcux_rnga.c,randon
drivers/entropy/entropy_mcux_rnga.c,randon
drivers/entropy/entropy_sam.c,memcpy
drivers/entropy/entropy_sam.c,memcpy
