File,Name,CWEs
arch/arm/core/prep_c.c,memcpy,CWE-120
arch/posix/include/posix_cheats.h,open,CWE-362
arch/posix/include/posix_cheats.h,usleep,CWE-676
arch/posix/include/posix_cheats.h,read,"CWE-120, CWE-20"
arch/x86_64/core/printf.h,snprintf,CWE-134
arch/x86_64/core/printf.h,sprintf,CWE-134
arch/x86_64/core/printf.h,printf,CWE-134
arch/x86_64/core/printf.h,char,CWE-119
arch/x86_64/core/xuk-stub32.c,printf,CWE-134
arch/x86_64/core/xuk.c,printf,CWE-134
arch/x86_64/core/xuk.c,char,CWE-119
arch/x86/core/ia32/fatal.c,char,CWE-119
arch/x86/core/ia32/x86_mmu.c,char,CWE-119
arch/x86/core/ia32/x86_mmu.c,memcpy,CWE-120
arch/x86/core/ia32/x86_mmu.c,memcpy,CWE-120
arch/x86/core/ia32/x86_mmu.c,memcpy,CWE-120
arch/x86/core/ia32/x86_mmu.c,memcpy,CWE-120
arch/x86/include/ia32/kernel_arch_thread.h,char,CWE-119
arch/x86/include/ia32/kernel_arch_thread.h,char,CWE-119
arch/x86/include/ia32/kernel_arch_thread.h,char,CWE-119
arch/x86/include/ia32/kernel_arch_thread.h,char,CWE-119
arch/x86/include/ia32/kernel_arch_thread.h,char,CWE-119
arch/xtensa/include/kernel_arch_thread.h,char,CWE-119
boards/posix/native_posix/cmdline_common.c,char,CWE-119
boards/posix/native_posix/cmdline_common.c,char,CWE-119
boards/posix/native_posix/cmdline_common.c,char,CWE-119
boards/posix/native_posix/cmdline_common.c,strlen,CWE-126
boards/posix/native_posix/cmdline_common.c,strlen,CWE-126
boards/posix/native_posix/cmdline_common.c,strlen,CWE-126
boards/posix/native_posix/cmdline_common.c,strlen,CWE-126
boards/posix/native_posix/cmdline_common.c,strlen,CWE-126
boards/posix/native_posix/cmdline_common.c,strlen,CWE-126
boards/posix/native_posix/cmdline.c,memcpy,CWE-120
boards/posix/native_posix/timer_model.c,sprintf,CWE-120
boards/posix/native_posix/timer_model.c,sprintf,CWE-120
boards/posix/native_posix/timer_model.c,char,CWE-119
boards/posix/native_posix/timer_model.c,char,CWE-119
boards/posix/native_posix/timer_model.c,char,CWE-119
boards/posix/native_posix/tracing.c,vfprintf,CWE-134
boards/posix/native_posix/tracing.c,vfprintf,CWE-134
boards/posix/native_posix/tracing.c,vfprintf,CWE-134
boards/posix/nrf52_bsim/argparse.h,char,CWE-119
boards/posix/nrf52_bsim/trace_hook.c,char,CWE-119
drivers/adc/adc_handlers.c,read,"CWE-120, CWE-20"
drivers/adc/adc_shell.c,read,"CWE-120, CWE-20"
drivers/adc/adc_shell.c,read,"CWE-120, CWE-20"
drivers/adc/adc_shell.c,read,"CWE-120, CWE-20"
drivers/bluetooth/hci/h4.c,read,"CWE-120, CWE-20"
drivers/bluetooth/hci/h4.c,read,"CWE-120, CWE-20"
drivers/bluetooth/hci/h4.c,read,"CWE-120, CWE-20"
drivers/bluetooth/hci/h4.c,read,"CWE-120, CWE-20"
drivers/bluetooth/hci/h5.c,memcpy,CWE-120
drivers/bluetooth/hci/h5.c,memcpy,CWE-120
drivers/bluetooth/hci/ipm_stm32wb.c,memcpy,CWE-120
drivers/bluetooth/hci/ipm_stm32wb.c,memcpy,CWE-120
drivers/bluetooth/hci/userchan.c,read,"CWE-120, CWE-20"
drivers/bluetooth/hci/userchan.c,strlen,CWE-126
drivers/console/native_posix_console.c,printf,CWE-134
drivers/console/native_posix_console.c,strlen,CWE-126
drivers/console/ram_console.c,char,CWE-119
drivers/console/xtensa_sim_console.c,char,CWE-119
drivers/counter/counter_cmos.c,read,"CWE-120, CWE-20"
drivers/counter/counter_cmos.c,read,"CWE-120, CWE-20"
drivers/counter/counter_handlers.c,read,"CWE-120, CWE-20"
drivers/crypto/crypto_ataes132a.c,memcpy,CWE-120
drivers/crypto/crypto_ataes132a.c,memcpy,CWE-120
drivers/crypto/crypto_ataes132a.c,memcpy,CWE-120
drivers/crypto/crypto_ataes132a.c,memcpy,CWE-120
drivers/crypto/crypto_ataes132a.c,memcpy,CWE-120
drivers/crypto/crypto_ataes132a.c,memcpy,CWE-120
drivers/crypto/crypto_ataes132a.c,memcpy,CWE-120
drivers/crypto/crypto_ataes132a.c,memcpy,CWE-120
drivers/crypto/crypto_ataes132a.c,memcpy,CWE-120
drivers/crypto/crypto_ataes132a.c,memcpy,CWE-120
drivers/crypto/crypto_tc_shim.c,memcpy,CWE-120
drivers/crypto/crypto_tc_shim.c,memcpy,CWE-120
drivers/display/display_framebuf.c,memcpy,CWE-120
drivers/display/display_framebuf.c,memcpy,CWE-120
drivers/display/display_mcux_elcdif.c,memcpy,CWE-120
drivers/display/display_mcux_elcdif.c,memcpy,CWE-120
drivers/display/display_sdl.c,memcpy,CWE-120
drivers/display/grove_lcd_rgb.c,char,CWE-119
drivers/display/mb_display.c,char,CWE-119
drivers/entropy/entropy_esp32.c,memcpy,CWE-120
drivers/entropy/entropy_esp32.c,memcpy,CWE-120
drivers/entropy/entropy_mcux_rnga.c,randon,CWE-327
drivers/entropy/entropy_mcux_rnga.c,randon,CWE-327
drivers/entropy/entropy_mcux_rnga.c,randon,CWE-327
drivers/entropy/entropy_mcux_rnga.c,randon,CWE-327
drivers/entropy/entropy_sam.c,memcpy,CWE-120
drivers/entropy/entropy_sam.c,memcpy,CWE-120
drivers/entropy/fake_entropy_native_posix.c,randon,CWE-327
drivers/entropy/fake_entropy_native_posix.c,srandom,CWE-327
drivers/entropy/fake_entropy_native_posix.c,memcpy,CWE-120
drivers/ethernet/eth_e1000.c,memcpy,CWE-120
drivers/ethernet/eth_e1000.c,memcpy,CWE-120
drivers/ethernet/eth_mcux.c,memcpy,CWE-120
drivers/ethernet/eth_native_posix_adapt.c,vsnprintf,CWE-134
drivers/ethernet/eth_native_posix_adapt.c,system,CWE-78
drivers/ethernet/eth_native_posix_adapt.c,open,CWE-362
drivers/ethernet/eth_native_posix_adapt.c,char,CWE-119
drivers/ethernet/eth_native_posix_adapt.c,strncpy,CWE-120
drivers/ethernet/eth_native_posix_adapt.c,read,"CWE-120, CWE-20"
drivers/flash/flash_gecko.c,memcpy,CWE-120
drivers/flash/flash_handlers.c,read,"CWE-120, CWE-20"
drivers/flash/flash_native_posix.c,memcpy,CWE-120
drivers/flash/flash_native_posix.c,memcpy,CWE-120
drivers/flash/flash_native_posix.c,open,CWE-362
drivers/flash/flash_sam.c,memcpy,CWE-120
drivers/flash/flash_sam0.c,memcpy,CWE-120
drivers/flash/flash_shell.c,read,"CWE-120, CWE-20"
drivers/flash/flash_simulator.c,memcpy,CWE-120
drivers/flash/flash_stm32.c,memcpy,CWE-120
drivers/flash/soc_flash_mcux.c,memcpy,CWE-120
drivers/flash/soc_flash_nios2_qspi.c,memcpy,CWE-120
drivers/flash/soc_flash_nios2_qspi.c,memcpy,CWE-120
drivers/flash/soc_flash_nrf.c,memcpy,CWE-120
drivers/flash/soc_flash_rv32m1.c,memcpy,CWE-120
drivers/flash/spi_flash_w25qxxdv.c,access,CWE-367
drivers/flash/spi_flash_w25qxxdv.c,access,CWE-367
drivers/flash/spi_flash_w25qxxdv.c,access,CWE-367
drivers/flash/spi_flash_w25qxxdv.c,access,CWE-367
drivers/flash/spi_flash_w25qxxdv.c,access,CWE-367
drivers/flash/spi_flash_w25qxxdv.c,access,CWE-367
drivers/gpio/gpio_esp32.c,read,"CWE-120, CWE-20"
drivers/gpio/gpio_esp32.c,read,"CWE-120, CWE-20"
drivers/gpio/gpio_handlers.c,read,"CWE-120, CWE-20"
drivers/gpio/gpio_shell.c,atoi,CWE-190
drivers/gpio/gpio_shell.c,atoi,CWE-190
drivers/gpio/gpio_shell.c,atoi,CWE-190
drivers/gpio/gpio_shell.c,atoi,CWE-190
drivers/gpio/gpio_shell.c,atoi,CWE-190
drivers/gpio/gpio_shell.c,atoi,CWE-190
drivers/gpio/gpio_shell.c,atoi,CWE-190
drivers/hwinfo/hwinfo_esp32.c,memcpy,CWE-120
drivers/hwinfo/hwinfo_imxrt.c,memcpy,CWE-120
drivers/hwinfo/hwinfo_mcux_sim.c,memcpy,CWE-120
drivers/hwinfo/hwinfo_nrf.c,memcpy,CWE-120
drivers/hwinfo/hwinfo_sam.c,memcpy,CWE-120
drivers/hwinfo/hwinfo_sam0.c,memcpy,CWE-120
drivers/hwinfo/hwinfo_stm32.c,memcpy,CWE-120
drivers/i2c/i2c_handlers.c,memcpy,CWE-120
drivers/i2c/slave/eeprom_slave.c,memcpy,CWE-120
drivers/i2s/i2s_cavs.c,memcpy,CWE-120
drivers/i2s/i2s_common.c,memcpy,CWE-120
drivers/i2s/i2s_common.c,memcpy,CWE-120
drivers/i2s/i2s_handlers.c,read,"CWE-120, CWE-20"
drivers/i2s/i2s_ll_stm32.c,memcpy,CWE-120
drivers/i2s/i2s_sam_ssc.c,memcpy,CWE-120
drivers/ieee802154/ieee802154_cc1200.c,read,"CWE-120, CWE-20"
drivers/ieee802154/ieee802154_cc1200.c,read,"CWE-120, CWE-20"
drivers/ieee802154/ieee802154_cc1200.h,read,"CWE-120, CWE-20"
drivers/ieee802154/ieee802154_cc2520.c,memcpy,CWE-120
drivers/ieee802154/ieee802154_cc2520.c,memcpy,CWE-120
drivers/ieee802154/ieee802154_cc2520.c,memcpy,CWE-120
drivers/ieee802154/ieee802154_cc2520.c,memcpy,CWE-120
drivers/ieee802154/ieee802154_cc2520.c,read,"CWE-120, CWE-20"
drivers/ieee802154/ieee802154_cc2520.c,read,"CWE-120, CWE-20"
drivers/ieee802154/ieee802154_cc2520.h,read,"CWE-120, CWE-20"
drivers/ieee802154/ieee802154_kw41z.c,memcpy,CWE-120
drivers/ieee802154/ieee802154_kw41z.c,memcpy,CWE-120
drivers/ieee802154/ieee802154_nrf5.c,memcpy,CWE-120
drivers/ieee802154/ieee802154_nrf5.c,memcpy,CWE-120
drivers/ieee802154/ieee802154_uart_pipe.c,memcpy,CWE-120
drivers/ieee802154/ieee802154_uart_pipe.c,memcpy,CWE-120
drivers/ieee802154/ieee802154_uart_pipe.c,memcpy,CWE-120
drivers/ieee802154/ieee802154_uart_pipe.c,memcpy,CWE-120
drivers/ipm/ipm_imx.c,memcpy,CWE-120
drivers/ipm/ipm_mcux.c,memcpy,CWE-120
drivers/modem/modem_cmd_handler.c,strlen,CWE-126
drivers/modem/modem_cmd_handler.c,strlen,CWE-126
drivers/modem/modem_cmd_handler.c,read,"CWE-120, CWE-20"
drivers/modem/modem_cmd_handler.c,read,"CWE-120, CWE-20"
drivers/modem/modem_cmd_handler.c,strlen,CWE-126
drivers/modem/modem_context.c,char,CWE-119
drivers/modem/modem_context.c,strcpy,CWE-120
drivers/modem/modem_context.h,read,"CWE-120, CWE-20"
drivers/modem/modem_shell.c,strlen,CWE-126
drivers/modem/ublox-sara-r4.c,char,CWE-119
drivers/modem/ublox-sara-r4.c,char,CWE-119
drivers/modem/ublox-sara-r4.c,char,CWE-119
drivers/modem/ublox-sara-r4.c,char,CWE-119
drivers/modem/ublox-sara-r4.c,char,CWE-119
drivers/modem/ublox-sara-r4.c,char,CWE-119
drivers/modem/ublox-sara-r4.c,char,CWE-119
drivers/modem/ublox-sara-r4.c,memcpy,CWE-120
drivers/modem/ublox-sara-r4.c,char,CWE-119
drivers/modem/ublox-sara-r4.c,memcpy,CWE-120
drivers/modem/ublox-sara-r4.c,char,CWE-119
drivers/modem/ublox-sara-r4.c,memcpy,CWE-120
drivers/modem/ublox-sara-r4.c,strlen,CWE-126
drivers/modem/ublox-sara-r4.c,strlen,CWE-126
drivers/modem/wncm14a2a.c,char,CWE-119
drivers/modem/wncm14a2a.c,char,CWE-119
drivers/modem/wncm14a2a.c,char,CWE-119
drivers/modem/wncm14a2a.c,char,CWE-119
drivers/modem/wncm14a2a.c,char,CWE-119
drivers/modem/wncm14a2a.c,char,CWE-119
drivers/modem/wncm14a2a.c,char,CWE-119
drivers/modem/wncm14a2a.c,char,CWE-119
drivers/modem/wncm14a2a.c,atoi,CWE-190
drivers/modem/wncm14a2a.c,char,CWE-119
drivers/modem/wncm14a2a.c,atoi,CWE-190
drivers/modem/wncm14a2a.c,char,CWE-119
drivers/modem/wncm14a2a.c,atoi,CWE-190
drivers/modem/wncm14a2a.c,char,CWE-119
drivers/modem/wncm14a2a.c,atoi,CWE-190
drivers/modem/wncm14a2a.c,char,CWE-119
drivers/modem/wncm14a2a.c,atoi,CWE-190
drivers/modem/wncm14a2a.c,char,CWE-119
drivers/modem/wncm14a2a.c,atoi,CWE-190
drivers/modem/wncm14a2a.c,char,CWE-119
drivers/modem/wncm14a2a.c,atoi,CWE-190
drivers/modem/wncm14a2a.c,char,CWE-119
drivers/modem/wncm14a2a.c,char,CWE-119
drivers/modem/wncm14a2a.c,atoi,CWE-190
drivers/modem/wncm14a2a.c,atoi,CWE-190
drivers/modem/wncm14a2a.c,atoi,CWE-190
drivers/modem/wncm14a2a.c,char,CWE-119
drivers/modem/wncm14a2a.c,atoi,CWE-190
drivers/modem/wncm14a2a.c,atoi,CWE-190
drivers/modem/wncm14a2a.c,char,CWE-119
drivers/modem/wncm14a2a.c,char,CWE-119
drivers/modem/wncm14a2a.c,char,CWE-119
drivers/modem/wncm14a2a.c,strlen,CWE-126
drivers/modem/wncm14a2a.c,strlen,CWE-126
drivers/net/ppp.c,memcpy,CWE-120
drivers/net/slip.c,char,CWE-119
drivers/neural_net/intel_gna.c,memcpy,CWE-120
drivers/neural_net/intel_gna.c,memcpy,CWE-120
drivers/rtc/rtc_handlers.c,read,"CWE-120, CWE-20"
drivers/sensor/adxl362/adxl362.c,access,CWE-367
drivers/sensor/adxl362/adxl362.c,access,CWE-367
drivers/sensor/dht/dht.c,memcpy,CWE-120
drivers/sensor/vl53l0x/vl53l0x_platform_log.h,strcpy,CWE-120
drivers/sensor/vl53l0x/vl53l0x_platform.c,memcpy,CWE-120
drivers/serial/uart_native_posix.c,sprintf,CWE-134
drivers/serial/uart_native_posix.c,system,CWE-78
drivers/serial/uart_native_posix.c,char,CWE-119
drivers/serial/uart_native_posix.c,strlen,CWE-126
drivers/serial/uart_native_posix.c,strlen,CWE-126
drivers/serial/uart_native_posix.c,read,"CWE-120, CWE-20"
drivers/serial/uart_native_posix.c,read,"CWE-120, CWE-20"
drivers/serial/uart_nrfx_uarte.c,read,"CWE-120, CWE-20"
drivers/serial/uart_nrfx_uarte.c,read,"CWE-120, CWE-20"
drivers/serial/uart_nrfx_uarte.c,read,"CWE-120, CWE-20"
drivers/spi/spi_dw.h,strlen,CWE-126
drivers/spi/spi_handlers.c,memcpy,CWE-120
drivers/spi/spi_handlers.c,memcpy,CWE-120
drivers/spi/spi_nrfx_spim.c,memcpy,CWE-120
drivers/usb/device/usb_dc_native_posix_adapt.c,strcpy,CWE-120
drivers/usb/device/usb_dc_native_posix_adapt.c,strcpy,CWE-120
drivers/usb/device/usb_dc_native_posix_adapt.c,char,CWE-119
drivers/usb/device/usb_dc_native_posix_adapt.c,read,"CWE-120, CWE-20"
drivers/usb/device/usb_dc_native_posix_adapt.c,read,"CWE-120, CWE-20"
drivers/usb/device/usb_dc_native_posix_adapt.c,read,"CWE-120, CWE-20"
drivers/usb/device/usb_dc_native_posix_adapt.c,read,"CWE-120, CWE-20"
drivers/usb/device/usb_dc_native_posix_adapt.c,read,"CWE-120, CWE-20"
drivers/usb/device/usb_dc_native_posix_adapt.c,read,"CWE-120, CWE-20"
drivers/usb/device/usb_dc_native_posix_adapt.c,read,"CWE-120, CWE-20"
drivers/usb/device/usb_dc_native_posix_adapt.c,read,"CWE-120, CWE-20"
drivers/usb/device/usb_dc_native_posix_adapt.c,read,"CWE-120, CWE-20"
drivers/usb/device/usb_dc_native_posix_adapt.c,read,"CWE-120, CWE-20"
drivers/usb/device/usb_dc_native_posix_adapt.c,read,"CWE-120, CWE-20"
drivers/usb/device/usb_dc_native_posix_adapt.c,read,"CWE-120, CWE-20"
drivers/usb/device/usb_dc_native_posix_adapt.c,read,"CWE-120, CWE-20"
drivers/usb/device/usb_dc_native_posix_adapt.h,char,CWE-119
drivers/usb/device/usb_dc_native_posix_adapt.h,char,CWE-119
drivers/usb/device/usb_dc_native_posix.c,memcpy,CWE-120
drivers/usb/device/usb_dc_nrfx.c,memcpy,CWE-120
drivers/usb/device/usb_dc_nrfx.c,memcpy,CWE-120
drivers/usb/device/usb_dc_sam0.c,memcpy,CWE-120
drivers/usb/device/usb_dc_sam0.c,memcpy,CWE-120
drivers/usb/device/usb_dc_stm32.c,memcpy,CWE-120
drivers/usb/device/usb_dc_stm32.c,memcpy,CWE-120
drivers/wifi/eswifi/eswifi_bus_spi.c,char,CWE-119
drivers/wifi/eswifi/eswifi_core.c,atoi,CWE-190
drivers/wifi/eswifi/eswifi_core.c,atoi,CWE-190
drivers/wifi/eswifi/eswifi_core.c,char,CWE-119
drivers/wifi/eswifi/eswifi_core.c,char,CWE-119
drivers/wifi/eswifi/eswifi_core.c,atoi,CWE-190
drivers/wifi/eswifi/eswifi_core.c,memcpy,CWE-120
drivers/wifi/eswifi/eswifi_core.c,memcpy,CWE-120
drivers/wifi/eswifi/eswifi_core.c,strlen,CWE-126
drivers/wifi/eswifi/eswifi_core.c,strlen,CWE-126
drivers/wifi/eswifi/eswifi_core.c,strlen,CWE-126
drivers/wifi/eswifi/eswifi_core.c,strlen,CWE-126
drivers/wifi/eswifi/eswifi_core.c,strlen,CWE-126
drivers/wifi/eswifi/eswifi_offload.c,atoi,CWE-190
drivers/wifi/eswifi/eswifi_offload.c,atoi,CWE-190
drivers/wifi/eswifi/eswifi_offload.c,memcpy,CWE-120
drivers/wifi/eswifi/eswifi_offload.c,strlen,CWE-126
drivers/wifi/eswifi/eswifi.h,char,CWE-119
drivers/wifi/eswifi/eswifi.h,char,CWE-119
drivers/wifi/eswifi/eswifi.h,char,CWE-119
drivers/wifi/simplelink/simplelink_sockets.c,strlen,CWE-126
drivers/wifi/simplelink/simplelink_support.c,memcpy,CWE-120
drivers/wifi/simplelink/simplelink_support.c,memcpy,CWE-120
drivers/wifi/simplelink/simplelink_support.c,memcpy,CWE-120
drivers/wifi/simplelink/simplelink_support.c,memcpy,CWE-120
drivers/wifi/simplelink/simplelink_support.c,char,CWE-119
drivers/wifi/simplelink/simplelink_support.c,memcpy,CWE-120
drivers/wifi/simplelink/simplelink.c,char,CWE-119
drivers/wifi/winc1500/wifi_winc1500_config.h,printf,CWE-134
drivers/wifi/winc1500/wifi_winc1500.c,char,CWE-119
drivers/wifi/winc1500/wifi_winc1500.c,memcpy,CWE-120
drivers/wifi/winc1500/wifi_winc1500.c,memcpy,CWE-120
drivers/wifi/winc1500/wifi_winc1500.c,memcpy,CWE-120
drivers/wifi/winc1500/wifi_winc1500.c,memcpy,CWE-120
drivers/wifi/winc1500/wifi_winc1500.c,strlen,CWE-126
ext/hal/altera/altera_hal/HAL/inc/os/alt_syscall.h,open,CWE-362
ext/hal/altera/altera_hal/HAL/inc/os/alt_syscall.h,read,"CWE-120, CWE-20"
ext/hal/altera/altera_hal/HAL/inc/os/alt_syscall.h,usleep,CWE-676
ext/hal/altera/altera_hal/HAL/inc/sys/alt_dev.h,open,CWE-362
ext/hal/altera/altera_hal/HAL/inc/sys/alt_dev.h,read,"CWE-120, CWE-20"
ext/hal/altera/altera_hal/HAL/inc/sys/alt_driver.h,read,"CWE-120, CWE-20"
ext/hal/altera/altera_hal/HAL/inc/sys/alt_driver.h,read,"CWE-120, CWE-20"
ext/hal/altera/altera_hal/HAL/inc/sys/alt_flash_dev.h,open,CWE-362
ext/hal/altera/altera_hal/HAL/inc/sys/alt_flash_dev.h,read,"CWE-120, CWE-20"
